Rockfish	Hoke	NC	34.99	-79.069	3700
Dinuba	Tulare	CA	36.545	-119.399	24455
Bartonsville	Frederick	MD	39.39	-77.351	1786
Lydia	Darlington	SC	34.287	-80.118	419
Ridgely	Caroline	MD	38.953	-75.883	1956
Stedman	Cumberland	NC	35.011	-78.7	1666
Seminary	Covington	MS	31.558	-89.499	267
Iron Gate	Alleghany	VA	37.799	-79.79	396
Mount Pleasant	Jefferson	OH	40.176	-80.799	395
Grampian	Clearfield	PA	40.965	-78.611	479
Banner Hill	Unicoi	TN	36.122	-82.42	1396
North Middletown	Bourbon	KY	38.143	-84.11	722
Trowbridge	Sutter	CA	38.926	-121.515	196
Churchill	Trumbull	OH	41.169	-80.666	1995
Joseph	Sevier	UT	38.625	-112.22	495
Cuero	DeWitt	TX	29.102	-97.287	8246
Sunset Valley	Travis	TX	30.226	-97.816	574
Dale	Cambria	PA	40.312	-78.905	1121
Lyons	Toombs	GA	32.206	-82.322	4263
Columbus	Stillwater	MT	45.636	-109.249	1964
Lauderdale	Lauderdale	MS	32.51	-88.526	270
Geneva	Fillmore	NE	40.531	-97.597	1955
Tuba City	Coconino	AZ	36.125	-111.247	9098
Butte	Silver Bow	MT	45.902	-112.657	34263
Wynnewood	Garvin	OK	34.644	-97.162	1838
Woodmere	Cuyahoga	OH	41.46	-81.48	749
Columbus	Anoka	MN	45.269	-93.081	4109
Dollar Point	Placer	CA	39.19	-120.108	909
Capitanejo	Juana Diaz	PR	18.013	-66.536	2888
Arlington	Arlington	VA	38.879	-77.101	236434
Titonka	Kossuth	IA	43.237	-94.041	412
Sedley	Southampton	VA	36.775	-76.986	615
Mount Morris	Genesee	MI	43.118	-83.699	2850
Redwood	Josephine	OR	42.422	-123.392	2860
Avoca	Luzerne	PA	41.338	-75.742	2612
La Feria	Cameron	TX	26.154	-97.826	7276
Grover Hill	Paulding	OH	41.019	-84.477	417
Baskin	Franklin	LA	32.259	-91.747	212
Chebanse	Kankakee	IL	41.006	-87.91	1208
Doyle	Lassen	CA	40.028	-120.117	745
Town Creek	Lawrence	AL	34.672	-87.406	943
Stephenville	Erath	TX	32.215	-98.22	20887
Prosser	Benton	WA	46.207	-119.766	6288
Beaverton	Gladwin	MI	43.881	-84.488	1270
Boston	Thomas	GA	30.792	-83.79	1122
Buffalo	Wright	MN	45.179	-93.864	16413
Brave	Greene	PA	39.727	-80.259	205
Lansing	Cook	IL	41.565	-87.546	27614
Ferrysburg	Ottawa	MI	43.085	-86.222	3025
Millersburg	Iowa	IA	41.573	-92.159	181
Reno Beach	Lucas	OH	41.661	-83.266	615
Canalou	New Madrid	MO	36.754	-89.687	186
Willimantic	Windham	CT	41.717	-72.211	18669
Temecula	Riverside	CA	33.493	-117.132	113117
Wolfe City	Hunt	TX	33.369	-96.072	1138
Mount Hope	Holmes	OH	40.624	-81.777	120
Rose Creek	Mower	MN	43.604	-92.829	536
Alcolu	Clarendon	SC	33.755	-80.222	413
Chesterton	Porter	IN	41.6	-87.055	13884
Governors Club	Chatham	NC	35.844	-79.045	1512
Whippany	Morris	NJ	40.823	-74.418	8780
Bainbridge	Lancaster	PA	40.091	-76.658	1399
Darrington	Snohomish	WA	48.255	-121.603	1194
Holmen	La Crosse	WI	43.971	-91.265	10023
Seagrove	Randolph	NC	35.539	-79.78	464
Seaside Heights	Ocean	NJ	39.945	-74.079	2917
Jamestown	Berkeley	SC	33.286	-79.695	114
Crawfordsville	Crittenden	AR	35.227	-90.324	527
Tuscaloosa	Tuscaloosa	AL	33.235	-87.527	149302
Sissonville	Kanawha	WV	38.504	-81.64	3472
Hanna	Carbon	WY	41.87	-106.56	830
Northville	Suffolk	NY	40.972	-72.618	1607
WaKeeney	Trego	KS	39.023	-99.882	2031
Nichols	Marion	SC	34.235	-79.149	228
Lambertville	Monroe	MI	41.748	-83.624	9970
Robeline	Natchitoches	LA	31.69	-93.304	126
Gleason	Weakley	TN	36.217	-88.611	1529
Norton	Summit	OH	41.029	-81.646	11984
Cleone	Mendocino	CA	39.493	-123.781	841
Varna	Marshall	IL	41.035	-89.224	456
Atlantic Beach	Duval	FL	30.337	-81.413	13831
Loyalhanna	Westmoreland	PA	40.314	-79.356	3486
Wiley	Prowers	CO	38.155	-102.719	349
Fair Haven	Cayuga	NY	43.326	-76.704	995
Mount Sidney	Augusta	VA	38.259	-78.965	606
Viola	Fulton	AR	36.397	-91.986	295
Glenview Manor	Jefferson	KY	38.291	-85.633	242
Fort Defiance	Apache	AZ	35.748	-109.067	4209
Burnsville	Yancey	NC	35.916	-82.298	2035
Rock Ridge	Fairfield	CT	41.035	-73.648	686
Logansport	De Soto	LA	31.976	-93.993	1878
Marquette	Clayton	IA	43.044	-91.192	448
Radium Springs	Dona Ana	NM	32.478	-106.903	1487
Gridley	Butte	CA	39.362	-121.697	7154
Hamburg	Berks	PA	40.556	-75.982	4369
Woodlawn	Fairfax	VA	38.733	-77.115	22620
Ericson	Wheeler	NE	41.78	-98.678	116
Rutherford	Gibson	TN	36.125	-88.992	1076
Macksville	Stafford	KS	37.957	-98.969	570
Bear	New Castle	DE	39.619	-75.681	21397
Walker Mill	Prince George's	MD	38.876	-76.885	9725
